Producto,Categoría,Cantidad,Precio Total,Fecha
"Lentejas 500g","Granos y cereales",10,994400.00,"2026-03-07 17:47:00"
"Frijol rojo 500g","Granos y cereales",7,994400.00,"2026-03-07 17:47:00"
"Avena Quaker 400g","Granos y cereales",5,994400.00,"2026-03-07 17:47:00"
"Pasta Doria Espagueti 250g","Granos y cereales",7,994400.00,"2026-03-07 17:47:00"
"Harina de Trigo 1Kg","Granos y cereales",5,994400.00,"2026-03-07 17:47:00"
"Leche Alqueria Entera 1L","Lacteos",8,994400.00,"2026-03-07 17:47:00"
"Leche Colanta Deslactosada 1L","Lacteos",12,994400.00,"2026-03-07 17:47:00"
"Yogurt Alpina 1L","Lacteos",14,994400.00,"2026-03-07 17:47:00"
"Queso Campesino 500g","Lacteos",4,994400.00,"2026-03-07 17:47:00"
"Mantequilla 250g","Lacteos",7,994400.00,"2026-03-07 17:47:00"
"Coca-Cola 350ml","Bebidas",14,994400.00,"2026-03-07 17:47:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",4,994400.00,"2026-03-07 17:47:00"
"Agua Cristal 600ml","Bebidas",8,994400.00,"2026-03-07 17:47:00"
"Cerveza Poker 330ml","Bebidas",5,994400.00,"2026-03-07 17:47:00"
"Aguardiante Antioqueno 375ml","Bebidas",1,994400.00,"2026-03-07 17:47:00"
"Detergente Fab 1Kg","Aseo",1,994400.00,"2026-03-07 17:47:00"
"Papel Higienico Familia x4","Aseo",5,994400.00,"2026-03-07 17:47:00"
"Atun Van Camps 160g","Enlatados",1,994400.00,"2026-03-07 17:47:00"
"Frijoles enlatados Zenú 300g","Enlatados",4,994400.00,"2026-03-07 17:47:00"
"Salchicha Ranchera x5","Enlatados",4,994400.00,"2026-03-07 17:47:00"
"Papas Margarita Natural 30g","Snacks",7,994400.00,"2026-03-07 17:47:00"
"Galletas Festival Chocolate","Snacks",5,994400.00,"2026-03-07 17:47:00"
"Chocolate Jet 50g","Snacks",5,994400.00,"2026-03-07 17:47:00"
"Chocoramo","Snacks",14,994400.00,"2026-03-07 17:47:00"
"Aceite Girasol 1L","Basicos hogar",8,994400.00,"2026-03-07 17:47:00"
"Azucar Manuelita 1Kg","Basicos hogar",8,994400.00,"2026-03-07 17:47:00"
"Sal Refisal 1Kg","Basicos hogar",3,994400.00,"2026-03-07 17:47:00"
"Cafe Sello Rojo 250g","Basicos hogar",8,994400.00,"2026-03-07 17:47:00"
"Panela redonda 500g","Basicos hogar",1,994400.00,"2026-03-07 17:47:00"
"Huevos x30 unidades","Basicos hogar",4,994400.00,"2026-03-07 17:47:00"
"Queso Campesino 500g","Lacteos",2,123100.00,"2026-03-06 21:29:00"
"Mantequilla 250g","Lacteos",5,123100.00,"2026-03-06 21:29:00"
"Agua Cristal 600ml","Bebidas",5,123100.00,"2026-03-06 21:29:00"
"Cerveza Poker 330ml","Bebidas",11,123100.00,"2026-03-06 21:29:00"
"Jabon Rey 300g","Aseo",2,123100.00,"2026-03-06 21:29:00"
"Papel Higienico Familia x4","Aseo",2,123100.00,"2026-03-06 21:29:00"
"Cloro Blancox 500ml","Aseo",2,123100.00,"2026-03-06 21:29:00"
"Atun Van Camps 160g","Enlatados",2,123100.00,"2026-03-06 21:29:00"
"Salchicha Ranchera x5","Enlatados",1,123100.00,"2026-03-06 21:29:00"
"Arroz Diana 1Kg","Granos y cereales",9,342600.00,"2026-03-06 18:19:00"
"Arroz Roa 5Kg","Granos y cereales",5,342600.00,"2026-03-06 18:19:00"
"Lentejas 500g","Granos y cereales",6,342600.00,"2026-03-06 18:19:00"
"Frijol rojo 500g","Granos y cereales",7,342600.00,"2026-03-06 18:19:00"
"Avena Quaker 400g","Granos y cereales",1,342600.00,"2026-03-06 18:19:00"
"Pasta Doria Espagueti 250g","Granos y cereales",4,342600.00,"2026-03-06 18:19:00"
"Leche Alqueria Entera 1L","Lacteos",12,342600.00,"2026-03-06 18:19:00"
"Leche Colanta Deslactosada 1L","Lacteos",4,342600.00,"2026-03-06 18:19:00"
"Yogurt Alpina 1L","Lacteos",12,342600.00,"2026-03-06 18:19:00"
"Papas Margarita Natural 30g","Snacks",8,152000.00,"2026-03-06 16:36:00"
"Galletas Festival Chocolate","Snacks",10,152000.00,"2026-03-06 16:36:00"
"Chiclets Adams x3","Snacks",1,152000.00,"2026-03-06 16:36:00"
"Chocoramo","Snacks",9,152000.00,"2026-03-06 16:36:00"
"Aceite Girasol 1L","Basicos hogar",3,152000.00,"2026-03-06 16:36:00"
"Cafe Sello Rojo 250g","Basicos hogar",8,152000.00,"2026-03-06 16:36:00"
"Panela redonda 500g","Basicos hogar",5,152000.00,"2026-03-06 16:36:00"
"Queso Campesino 500g","Lacteos",2,187500.00,"2026-03-05 20:47:00"
"Mantequilla 250g","Lacteos",4,187500.00,"2026-03-05 20:47:00"
"Coca-Cola 350ml","Bebidas",9,187500.00,"2026-03-05 20:47:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",5,187500.00,"2026-03-05 20:47:00"
"Agua Cristal 600ml","Bebidas",6,187500.00,"2026-03-05 20:47:00"
"Cerveza Poker 330ml","Bebidas",10,187500.00,"2026-03-05 20:47:00"
"Aguardiante Antioqueno 375ml","Bebidas",2,187500.00,"2026-03-05 20:47:00"
"Papel Higienico Familia x4","Aseo",1,187500.00,"2026-03-05 20:47:00"
"Sardina Isabel 170g","Enlatados",5,187500.00,"2026-03-05 20:47:00"
"Frijoles enlatados Zenú 300g","Enlatados",4,187500.00,"2026-03-05 20:47:00"
"Salchicha Ranchera x5","Enlatados",3,332100.00,"2026-03-05 13:55:00"
"Papas Margarita Natural 30g","Snacks",12,332100.00,"2026-03-05 13:55:00"
"Galletas Festival Chocolate","Snacks",3,332100.00,"2026-03-05 13:55:00"
"Chocoramo","Snacks",12,332100.00,"2026-03-05 13:55:00"
"Aceite Girasol 1L","Basicos hogar",10,332100.00,"2026-03-05 13:55:00"
"Azucar Manuelita 1Kg","Basicos hogar",11,332100.00,"2026-03-05 13:55:00"
"Sal Refisal 1Kg","Basicos hogar",1,332100.00,"2026-03-05 13:55:00"
"Cafe Sello Rojo 250g","Basicos hogar",7,332100.00,"2026-03-05 13:55:00"
"Huevos x30 unidades","Basicos hogar",4,332100.00,"2026-03-05 13:55:00"
"Arroz Diana 1Kg","Granos y cereales",4,392100.00,"2026-03-05 12:01:00"
"Arroz Roa 5Kg","Granos y cereales",8,392100.00,"2026-03-05 12:01:00"
"Lentejas 500g","Granos y cereales",8,392100.00,"2026-03-05 12:01:00"
"Frijol rojo 500g","Granos y cereales",8,392100.00,"2026-03-05 12:01:00"
"Avena Quaker 400g","Granos y cereales",3,392100.00,"2026-03-05 12:01:00"
"Pasta Doria Espagueti 250g","Granos y cereales",7,392100.00,"2026-03-05 12:01:00"
"Harina de Trigo 1Kg","Granos y cereales",2,392100.00,"2026-03-05 12:01:00"
"Leche Alqueria Entera 1L","Lacteos",11,392100.00,"2026-03-05 12:01:00"
"Leche Colanta Deslactosada 1L","Lacteos",10,392100.00,"2026-03-05 12:01:00"
"Yogurt Alpina 1L","Lacteos",3,392100.00,"2026-03-05 12:01:00"
"Arroz Diana 1Kg","Granos y cereales",7,808600.00,"2026-03-05 00:39:00"
"Arroz Roa 5Kg","Granos y cereales",10,808600.00,"2026-03-05 00:39:00"
"Lentejas 500g","Granos y cereales",9,808600.00,"2026-03-05 00:39:00"
"Frijol rojo 500g","Granos y cereales",5,808600.00,"2026-03-05 00:39:00"
"Pasta Doria Espagueti 250g","Granos y cereales",10,808600.00,"2026-03-05 00:39:00"
"Harina de Trigo 1Kg","Granos y cereales",3,808600.00,"2026-03-05 00:39:00"
"Leche Alqueria Entera 1L","Lacteos",12,808600.00,"2026-03-05 00:39:00"
"Leche Colanta Deslactosada 1L","Lacteos",5,808600.00,"2026-03-05 00:39:00"
"Yogurt Alpina 1L","Lacteos",5,808600.00,"2026-03-05 00:39:00"
"Queso Campesino 500g","Lacteos",1,808600.00,"2026-03-05 00:39:00"
"Coca-Cola 350ml","Bebidas",5,808600.00,"2026-03-05 00:39:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",7,808600.00,"2026-03-05 00:39:00"
"Agua Cristal 600ml","Bebidas",7,808600.00,"2026-03-05 00:39:00"
"Cerveza Poker 330ml","Bebidas",12,808600.00,"2026-03-05 00:39:00"
"Papel Higienico Familia x4","Aseo",4,808600.00,"2026-03-05 00:39:00"
"Atun Van Camps 160g","Enlatados",5,808600.00,"2026-03-05 00:39:00"
"Papas Margarita Natural 30g","Snacks",3,808600.00,"2026-03-05 00:39:00"
"Galletas Festival Chocolate","Snacks",4,808600.00,"2026-03-05 00:39:00"
"Chocolate Jet 50g","Snacks",4,808600.00,"2026-03-05 00:39:00"
"Chocoramo","Snacks",12,808600.00,"2026-03-05 00:39:00"
"Azucar Manuelita 1Kg","Basicos hogar",4,808600.00,"2026-03-05 00:39:00"
"Cafe Sello Rojo 250g","Basicos hogar",11,808600.00,"2026-03-05 00:39:00"
"Panela redonda 500g","Basicos hogar",1,808600.00,"2026-03-05 00:39:00"
"Huevos x30 unidades","Basicos hogar",6,808600.00,"2026-03-05 00:39:00"
"Arroz Diana 1Kg","Granos y cereales",8,262100.00,"2026-03-03 23:29:00"
"Arroz Roa 5Kg","Granos y cereales",7,262100.00,"2026-03-03 23:29:00"
"Frijol rojo 500g","Granos y cereales",10,262100.00,"2026-03-03 23:29:00"
"Avena Quaker 400g","Granos y cereales",2,262100.00,"2026-03-03 23:29:00"
"Pasta Doria Espagueti 250g","Granos y cereales",6,262100.00,"2026-03-03 23:29:00"
"Harina de Trigo 1Kg","Granos y cereales",2,262100.00,"2026-03-03 23:29:00"
"Leche Alqueria Entera 1L","Lacteos",3,262100.00,"2026-03-03 23:29:00"
"Leche Colanta Deslactosada 1L","Lacteos",11,224100.00,"2026-03-03 22:13:00"
"Yogurt Alpina 1L","Lacteos",10,224100.00,"2026-03-03 22:13:00"
"Queso Campesino 500g","Lacteos",4,224100.00,"2026-03-03 22:13:00"
"Mantequilla 250g","Lacteos",5,224100.00,"2026-03-03 22:13:00"
"Coca-Cola 350ml","Bebidas",12,224100.00,"2026-03-03 22:13:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",8,224100.00,"2026-03-03 22:13:00"
"Jugo Hit Naranja 1L","Bebidas",3,224100.00,"2026-03-03 22:13:00"
"Agua Cristal 600ml","Bebidas",7,96800.00,"2026-03-03 18:14:00"
"Cerveza Poker 330ml","Bebidas",12,96800.00,"2026-03-03 18:14:00"
"Detergente Fab 1Kg","Aseo",1,96800.00,"2026-03-03 18:14:00"
"Cloro Blancox 500ml","Aseo",1,96800.00,"2026-03-03 18:14:00"
"Sardina Isabel 170g","Enlatados",3,96800.00,"2026-03-03 18:14:00"
"Papas Margarita Natural 30g","Snacks",10,96800.00,"2026-03-03 18:14:00"
"Galletas Festival Chocolate","Snacks",3,96800.00,"2026-03-03 18:14:00"
"Chocolate Jet 50g","Snacks",1,364600.00,"2026-03-03 16:35:00"
"Chocoramo","Snacks",10,364600.00,"2026-03-03 16:35:00"
"Aceite Girasol 1L","Basicos hogar",8,364600.00,"2026-03-03 16:35:00"
"Azucar Manuelita 1Kg","Basicos hogar",9,364600.00,"2026-03-03 16:35:00"
"Cafe Sello Rojo 250g","Basicos hogar",10,364600.00,"2026-03-03 16:35:00"
"Panela redonda 500g","Basicos hogar",2,364600.00,"2026-03-03 16:35:00"
"Huevos x30 unidades","Basicos hogar",9,364600.00,"2026-03-03 16:35:00"
"Papel Higienico Familia x4","Aseo",7,155700.00,"2026-03-02 18:46:00"
"Atun Van Camps 160g","Enlatados",7,155700.00,"2026-03-02 18:46:00"
"Sardina Isabel 170g","Enlatados",4,155700.00,"2026-03-02 18:46:00"
"Frijoles enlatados Zenú 300g","Enlatados",1,155700.00,"2026-03-02 18:46:00"
"Maiz tierno Zenú 300g","Enlatados",1,155700.00,"2026-03-02 18:46:00"
"Salchicha Ranchera x5","Enlatados",3,155700.00,"2026-03-02 18:46:00"
"Papas Margarita Natural 30g","Snacks",10,155700.00,"2026-03-02 18:46:00"
"Galletas Festival Chocolate","Snacks",8,155700.00,"2026-03-02 18:46:00"
"Chocolate Jet 50g","Snacks",1,614800.00,"2026-03-02 18:00:00"
"Chocoramo","Snacks",4,614800.00,"2026-03-02 18:00:00"
"Aceite Girasol 1L","Basicos hogar",15,614800.00,"2026-03-02 18:00:00"
"Azucar Manuelita 1Kg","Basicos hogar",15,614800.00,"2026-03-02 18:00:00"
"Cafe Sello Rojo 250g","Basicos hogar",14,614800.00,"2026-03-02 18:00:00"
"Panela redonda 500g","Basicos hogar",7,614800.00,"2026-03-02 18:00:00"
"Huevos x30 unidades","Basicos hogar",17,614800.00,"2026-03-02 18:00:00"
"Arroz Diana 1Kg","Granos y cereales",17,606600.00,"2026-03-02 17:55:00"
"Arroz Roa 5Kg","Granos y cereales",17,606600.00,"2026-03-02 17:55:00"
"Lentejas 500g","Granos y cereales",6,606600.00,"2026-03-02 17:55:00"
"Frijol rojo 500g","Granos y cereales",7,606600.00,"2026-03-02 17:55:00"
"Pasta Doria Espagueti 250g","Granos y cereales",10,606600.00,"2026-03-02 17:55:00"
"Harina de Trigo 1Kg","Granos y cereales",4,606600.00,"2026-03-02 17:55:00"
"Leche Alqueria Entera 1L","Lacteos",10,606600.00,"2026-03-02 17:55:00"
"Leche Colanta Deslactosada 1L","Lacteos",13,606600.00,"2026-03-02 17:55:00"
"Yogurt Alpina 1L","Lacteos",14,256900.00,"2026-03-02 16:26:00"
"Mantequilla 250g","Lacteos",6,256900.00,"2026-03-02 16:26:00"
"Coca-Cola 350ml","Bebidas",14,256900.00,"2026-03-02 16:26:00"
"Gaseosa Postobon Manzana 350ml","Bebidas",4,256900.00,"2026-03-02 16:26:00"
"Jugo Hit Naranja 1L","Bebidas",7,256900.00,"2026-03-02 16:26:00"
